A|Ü1|800000
A|Ü2|2500000
B|Ü1|1200000
A|Ü3|2000000
A|Ü3|1700000
A|Ü3|1400000
B|Ü2|1900000
B|Ü1|4600000
C|Ü2|700000
A|Ü2|1800000
B|Ü2|1900000
B|Ü2|1300000
B|Ü1|1700000
A|Ü2|2200000
B|Ü3|1400000
A|Ü1|1600000
A|Ü2|1200000
C|Ü2|1900000
C|Ü1|1800000
C|Ü3|1900000
C|Ü1|1600000
C|Ü2|900000
B|Ü2|2100000
C|Ü2|1300000
A|Ü1|2300000
C|Ü2|700000
A|Ü2|1900000
B|Ü1|2000000
A|Ü2|3100000
B|Ü1|4800000
B|Ü2|1500000
B|Ü1|2000000
C|Ü1|800000
C|Ü2|500000
A|Ü3|2200000
B|Ü2|3200000
B|Ü1|2100000
C|Ü3|1100000
A|Ü1|1500000
B|Ü3|2300000
A|Ü3|5600000
B|Ü3|1100000
A|Ü3|5600000
C|Ü1|1700000
C|Ü3|2300000
B|Ü3|1000000
A|Ü3|2200000
